productnr,category,prompt
1704,Desks,"A high-quality picture of a brown desks made from ceramic, displayed outdoors"
1705,Wine glasses,"A high-quality picture of a red wine glasses made from stainless steel, displayed in natural lighting"
1706,Earphones,"A high-quality picture of a blue earphones made from glass, displayed against a pastel background"
1707,Curtains,"A high-quality picture of a purple curtains made from wooden, displayed in a modern living room"
1708,Cutting boards,"A high-quality picture of a navy cutting boards made from ceramic, displayed in natural lighting"
1709,Wine glasses,"A high-quality picture of a yellow wine glasses made from silk, displayed on a white background"
1710,Belts,"A high-quality picture of a gray belts made from cotton, displayed in natural lighting"
1711,Microwaves,"A high-quality picture of a green microwaves made from stainless steel, displayed on a white background"
1712,Gloves,"A high-quality picture of a gray gloves made from plastic, displayed in a modern living room"
1713,Toothbrushes,"A high-quality picture of a purple toothbrushes made from stainless steel, displayed on a marble table"
1714,Coffee machines,"A high-quality picture of a beige coffee machines made from wooden, displayed on a marble table"
1715,Sofas,"A high-quality picture of a yellow sofas made from silk, displayed outdoors"
1716,Wine glasses,"A high-quality picture of a beige wine glasses made from plastic, displayed in natural lighting"
1717,Gloves,"A high-quality picture of a purple gloves made from silk, displayed on a marble table"
1718,Shaving creams,"A high-quality picture of a beige shaving creams made from metal, displayed outdoors"
1719,Shaving creams,"A high-quality picture of a green shaving creams made from plastic, displayed outdoors"
1720,Water bottles,"A high-quality picture of a gold water bottles made from ceramic, displayed in natural lighting"
1721,Shoes,"A high-quality picture of a gray shoes made from cotton, displayed on a marble table"
1722,Razors,"A high-quality picture of a navy razors made from wooden, displayed in a modern living room"
1723,Socks,"A high-quality picture of a orange socks made from plastic, displayed in natural lighting"
1724,Coffee machines,"A high-quality picture of a gray coffee machines made from wooden, displayed on a wooden surface"
1725,Cookware sets,"A high-quality picture of a orange cookware sets made from stainless steel, displayed in a modern living room"
1726,Rugs,"A high-quality picture of a gray rugs made from ceramic, displayed against a pastel background"
1727,Hairdryers,"A high-quality picture of a orange hairdryers made from silk, displayed on a white background"
1728,Scarves,"A high-quality picture of a green scarves made from ceramic, displayed on a wooden surface"
1729,Blenders,"A high-quality picture of a purple blenders made from metal, displayed in a studio setting"
1730,Razors,"A high-quality picture of a silver razors made from wooden, displayed on a wooden surface"
1731,Kettles,"A high-quality picture of a black kettles made from metal, displayed against a pastel background"
1732,Cutting boards,"A high-quality picture of a blue cutting boards made from leather, displayed outdoors"
1733,Dinner plates,"A high-quality picture of a gold dinner plates made from metal, displayed outdoors"
1734,Hats,"A high-quality picture of a red hats made from glass, displayed outdoors"
1735,Watches,"A high-quality picture of a gray watches made from cotton, displayed against a pastel background"
1736,Hats,"A high-quality picture of a green hats made from leather, displayed on a wooden surface"
1737,Rugs,"A high-quality picture of a orange rugs made from glass, displayed on a white background"
1738,Coffee tables,"A high-quality picture of a brown coffee tables made from stainless steel, displayed in natural lighting"
1739,Paintings,"A high-quality picture of a navy paintings made from glass, displayed outdoors"
1740,Blenders,"A high-quality picture of a purple blenders made from wooden, displayed on a marble table"
1741,Towels,"A high-quality picture of a red towels made from plastic, displayed on a marble table"
1742,Cookware sets,"A high-quality picture of a yellow cookware sets made from leather, displayed on a white background"
1743,Coffee machines,"A high-quality picture of a green coffee machines made from glass, displayed on a white background"
1744,Floor mats,"A high-quality picture of a gray floor mats made from metal, displayed against a pastel background"
1745,Desks,"A high-quality picture of a pink desks made from metal, displayed against a pastel background"
1746,Bathrobes,"A high-quality picture of a orange bathrobes made from cotton, displayed on a white background"
1747,Desks,"A high-quality picture of a pink desks made from ceramic, displayed in a studio setting"
1748,Towels,"A high-quality picture of a yellow towels made from ceramic, displayed in natural lighting"
1749,Blenders,"A high-quality picture of a navy blenders made from glass, displayed on a white background"
1750,Watches,"A high-quality picture of a black watches made from silk, displayed against a pastel background"
1751,Hairdryers,"A high-quality picture of a gold hairdryers made from stainless steel, displayed against a pastel background"
1752,Hairdryers,"A high-quality picture of a white hairdryers made from silk, displayed in a modern living room"
1753,Beds,"A high-quality picture of a white beds made from leather, displayed in a studio setting"
1754,Refrigerators,"A high-quality picture of a purple refrigerators made from silk, displayed in a modern living room"
1755,Kettles,"A high-quality picture of a black kettles made from metal, displayed in natural lighting"
1756,Refrigerators,"A high-quality picture of a gold refrigerators made from wooden, displayed against a pastel background"
1757,Laundry baskets,"A high-quality picture of a green laundry baskets made from cotton, displayed against a pastel background"
1758,T-shirts,"A high-quality picture of a black t-shirts made from metal, displayed against a pastel background"
1759,Paintings,"A high-quality picture of a navy paintings made from leather, displayed on a wooden surface"
1760,Shoes,"A high-quality picture of a gold shoes made from silk, displayed in a studio setting"
1761,T-shirts,"A high-quality picture of a red t-shirts made from silk, displayed in a studio setting"
1762,Microwaves,"A high-quality picture of a black microwaves made from stainless steel, displayed in a studio setting"
1763,Bathrobes,"A high-quality picture of a yellow bathrobes made from wooden, displayed against a pastel background"
1764,Toasters,"A high-quality picture of a black toasters made from wooden, displayed in natural lighting"
1765,Curtains,"A high-quality picture of a navy curtains made from wooden, displayed in a modern living room"
1766,Mirrors,"A high-quality picture of a pink mirrors made from wooden, displayed in a studio setting"
1767,Floor mats,"A high-quality picture of a yellow floor mats made from plastic, displayed on a marble table"
1768,Toothbrushes,"A high-quality picture of a orange toothbrushes made from cotton, displayed on a wooden surface"
1769,Office chairs,"A high-quality picture of a pink office chairs made from stainless steel, displayed in natural lighting"
1770,Kettles,"A high-quality picture of a red kettles made from plastic, displayed in a modern living room"
